Feature,Importance
MaritalStatus,0.05972615342941958
TotalWorkingYears,0.059423536351073204
EnvironmentSatisfaction,0.055786201603156116
JobSatisfaction,0.049560298375576434
YearsWithCurrManager,0.04533972469519523
NumCompaniesWorked,0.04357077229724118
YearsSinceLastPromotion,0.039346410985991814
WorkLifeBalance,0.03737000280513829
Age,0.035445263765237864
JobRole,0.031539928759286615
BusinessTravel,0.029963551188184737
EducationField,0.027482511542674434
PerformanceRating,0.024759956835102393
TrainingTimesLastYear,0.024026185388074585
Gender,0.023231507689930618
DistanceFromHome,0.02255797782401118
Education,0.02024474968860501
PercentSalaryHike,0.020041900865861054
Department,0.019764413767332904
JobInvolvement,0.01966066124568358
StockOptionLevel,0.01794940212157438
MonthlyIncome,0.017125151989871797
JobLevel,0.016462143501902612
AverageHoursWorked,0.01511383730615895
YearsAtCompany,0.0087018489702483
