Feature,Importance
YearsSinceLastPromotion,0.025475497755816905
MaritalStatus,0.023969700648646487
TotalWorkingYears,0.022158671956396776
EnvironmentSatisfaction,0.021145731385926098
NumCompaniesWorked,0.020226399636906707
BusinessTravel,0.017427371673710057
JobSatisfaction,0.016236459247989082
YearsWithCurrManager,0.014533828619013065
WorkLifeBalance,0.01406319252045414
PerformanceRating,0.013929256800264894
Gender,0.013775860718112234
TrainingTimesLastYear,0.01333901957419823
Age,0.01322179332511481
Department,0.011865432183599995
JobRole,0.011743892449603272
DistanceFromHome,0.011445471143822144
StockOptionLevel,0.01140607410074076
EducationField,0.01027323624845034
Education,0.00986370789797801
JobInvolvement,0.009558303092740653
PercentSalaryHike,0.008223252920113066
JobLevel,0.007344570843121574
YearsAtCompany,0.006666959637262327
MonthlyIncome,0.006454625341264612
