Feature,Importance
MaritalStatus,0.02553754771586912
EnvironmentSatisfaction,0.022549634886453646
TotalWorkingYears,0.02194260104270198
JobSatisfaction,0.020459499887128724
NumCompaniesWorked,0.01992787637411671
Age,0.019252082508039163
WorkLifeBalance,0.018919814984923223
BusinessTravel,0.018341575362292046
YearsSinceLastPromotion,0.017139015373349095
YearsWithCurrManager,0.016561081878171315
JobInvolvement,0.01361059577198698
DistanceFromHome,0.013389050801839955
EducationField,0.012492240819070084
StockOptionLevel,0.012458205118251504
JobRole,0.012165515587951268
Education,0.011219108477494895
Gender,0.011081095131965561
Department,0.010783885326297706
PerformanceRating,0.010323886974052298
TrainingTimesLastYear,0.009883048699165764
PercentSalaryHike,0.008818056306391214
YearsAtCompany,0.008718965714977463
JobLevel,0.007221513340300964
MonthlyIncome,0.006832161824706018
