Feature,Importance
TotalWorkingYears,0.0373595717010372
MaritalStatus,0.02523955763485446
EnvironmentSatisfaction,0.022187848440016172
YearsSinceLastPromotion,0.021323808635133265
JobSatisfaction,0.020721770471235166
BusinessTravel,0.018454903230606376
YearsWithCurrManager,0.016851931793398875
NumCompaniesWorked,0.015440386648560839
JobInvolvement,0.015320550706540238
PerformanceRating,0.014873018649255592
WorkLifeBalance,0.014519846848094565
DistanceFromHome,0.013573207635488029
Department,0.012977914284201307
JobRole,0.012779281489596013
Gender,0.011834987173743436
Education,0.010945379441753689
PercentSalaryHike,0.010828906548518353
EducationField,0.009298568408647144
JobLevel,0.008931859816889017
TrainingTimesLastYear,0.008771693148494025
StockOptionLevel,0.008555093188572636
MonthlyIncome,0.007960004967688934
YearsAtCompany,0.007652164184186406
