Feature,Importance
TotalWorkingYears,0.05315826017783201
MaritalStatus,0.050082728119969694
NumCompaniesWorked,0.04836310415770924
YearsSinceLastPromotion,0.045575430907839484
YearsWithCurrManager,0.04543104597463292
EnvironmentSatisfaction,0.04428139137247822
BusinessTravel,0.03861406143244425
JobSatisfaction,0.037234941483507984
WorkLifeBalance,0.03468330181770985
PerformanceRating,0.03153562877003942
StockOptionLevel,0.03068775482301062
EducationField,0.029530228354424343
Gender,0.02947757940242577
JobRole,0.02892151912480861
TrainingTimesLastYear,0.028341024209612594
Age,0.026604672044223007
DistanceFromHome,0.021191860834334837
Education,0.020612730807719234
PercentSalaryHike,0.01968100915556449
Department,0.019048327502046075
JobInvolvement,0.018121633153171886
MonthlyIncome,0.014562910802980965
YearsAtCompany,0.01436447201615749
JobLevel,0.013137671540699513
