Feature,Importance
MaritalStatus,0.06034007646956147
EnvironmentSatisfaction,0.05326230622671292
Age,0.048905147154901005
TotalWorkingYears,0.04663334906330435
YearsSinceLastPromotion,0.04590831312154624
JobSatisfaction,0.04450411715920974
NumCompaniesWorked,0.042978994030277606
YearsWithCurrManager,0.03841643634048062
EducationField,0.038241867416394175
Department,0.03381655438434109
JobRole,0.033010058909191176
WorkLifeBalance,0.03287448317141547
BusinessTravel,0.03240569024010081
TrainingTimesLastYear,0.030365873705802446
Education,0.02897542825063478
Gender,0.02622022552174443
StockOptionLevel,0.025015436596166875
PerformanceRating,0.019589221084318133
DistanceFromHome,0.019394843610190008
AverageHoursWorked,0.01756136654280563
YearsAtCompany,0.017410239356462034
PercentSalaryHike,0.01588801058269844
JobInvolvement,0.014852836054944345
MonthlyIncome,0.014596218146424682
JobLevel,0.013153717458320167
