Feature,Importance
JobSatisfaction,0.047826814412658854
TotalWorkingYears,0.04646039421080521
EnvironmentSatisfaction,0.046374020998324064
YearsSinceLastPromotion,0.044828834620032135
Age,0.04477251812955156
NumCompaniesWorked,0.04431167477076269
YearsWithCurrManager,0.04194082680590525
MaritalStatus,0.04147343983381266
BusinessTravel,0.03865884103509841
EducationField,0.033649313243365335
WorkLifeBalance,0.033013145005818714
StockOptionLevel,0.02615867874374944
Department,0.02532837426740697
PerformanceRating,0.02517758742037006
JobRole,0.025153631213640976
Gender,0.022406678735341398
DistanceFromHome,0.02233035731749534
TrainingTimesLastYear,0.021802305448039586
Education,0.02071255450198244
AverageHoursWorked,0.020474047785513774
JobInvolvement,0.01732572262725428
MonthlyIncome,0.015697602645774914
PercentSalaryHike,0.01530420207281119
JobLevel,0.014683061638448432
YearsAtCompany,0.013882522397603769
