Feature,Coefficient
employeeid,-3.691790352723852e-06
age,-0.08947988913755812
businesstravel,-0.0019159225939402137
department,-0.02112209260420989
distancefromhome,-0.001171662585245693
education,-0.01928473438629481
educationfield,-0.039481940626103385
gender,0.00941365676019688
joblevel,-0.012679083331260116
jobrole,0.01798206029390366
maritalstatus,0.07697461872916843
monthlyincome,-0.024832766745762628
numcompaniesworked,0.04957828350101227
percentsalaryhike,0.009631550320973464
stockoptionlevel,-0.014016081361259538
totalworkingyears,-0.09234799436148507
trainingtimeslastyear,-0.04280047926503833
yearsatcompany,0.04921396158194506
yearssincelastpromotion,0.09355711387295239
yearswithcurrmanager,-0.14315959969133973
jobinvolvement,0.00022915703594157436
performancerating,0.0038452419302091837
environmentsatisfaction,-0.060868917089721544
jobsatisfaction,-0.053151236156010966
worklifebalance,-0.05440113534328739
averagehoursworked,-0.00477382262610715
